NUMBER OF ITEMS,LENGHT,WIDTH,HEIGHT,WEIGHT,VOLUME,STACKABLE,UNLOADING ORDER,PRIORITY,TAXABILITY,LOADED,LOADING RULES,COUNTRY RULES,CUSTOMER-PARTNER RULES,SENDER RULES,CONSIGNEE RULES,TRAFFIC LINE,GOODS,YEAR,BRANCH,SHIPMENT,KIND OF PACKAGE,SENDER,CONSIGNEE,ZIP,NATION,TRAFFIC LINE,TRUCK YEAR,TRUCK BRANCH,TRUCK NUMBER,KIND OF TRUCK
1,40,30,40,7.5,0.048,1,1,1,100,1, , , , , ,BA1,Merce varia,2019,1,205027,CAR,FI.MO.TEC. SPA,NKT ZAO C/O ZEMES TINKLAS,2241,LT,BA1,2019,1,38998,AUTOTRENO
1,200,75,40,320,0.6,1,1,1,400,1, , , , , ,BA1,Merce varia,2019,1,205145,CAS,ROSSINI S.P.A.,LIETPAK UAB,4041,LT,BA1,2019,1,38998,AUTOTRENO
1,80,120,145,295,1.392,1,1,1,1500,1, , , , , ,BA1,Merce varia,2019,1,205413,PAL,MORETTI LUCE,ARDENA UAB,2006,LT,BA1,2019,1,38998,AUTOTRENO
1,80,120,140,295,1.344,1,1,1,1500,1, , , , , ,BA1,Merce varia,2019,1,205413,PAL,MORETTI LUCE,ARDENA UAB,2006,LT,BA1,2019,1,38998,AUTOTRENO
1,100,120,165,295,1.98,1,1,1,1500,1, , , , , ,BA1,Merce varia,2019,1,205413,PAL,MORETTI LUCE,ARDENA UAB,2006,LT,BA1,2019,1,38998,AUTOTRENO
5,100,120,220,557.84,2.64,1,1,2,4000,1, , , , , ,BA1,Merce varia,2019,1,205472,PAL,ARTEMIDE S.P.A,DELIGHT UAB,3112,LT,BA1,2019,1,38998,AUTOTRENO
2,50,40,40,31,0.08,1,1,1,100,1, , , , , ,BA1,Merce varia,2019,1,205600,SCA,LINIFICIO E CANAPIFICIO NAZIONALE SRL,VATA CALISTO VARAHALDUR OU,10146,EE,BA1,2019,1,38998,AUTOTRENO
22,80,120,180,18240,1.728,1,1,1,18300,1, , , , , ,BA1,Merce varia,2019,1,206267,PAL,B-PACK,AURIKA UAB,51133,LT,BA1,2019,1,38998,AUTOTRENO
1,240,132,169,1350,5.35392,1,1,2,1700,1, , , , , ,BA1,motore,2019,2,2044436,PAL,BIMOTOR SPA,BME DIESEL,222223,BY,BA1,2019,1,38998,AUTOTRENO
2,80,120,170,1548.75,1.632,1,1,9,1600,1, , , , , ,BA1,Merce varia,2019,6,6006913,PAL,FRATELLI NAPPI 2 S.R.L.,UAB MINORDIJA,46353,LT,BA1,2019,6,4399,AUTOTRENO
3,80,120,133,1300,1.2768,1,1,9,1300,1, , , , , ,BA1,Merce varia,2019,6,6007162,PAL,I.D.C.,SKONIS IR KVAPAS UAB,2241,LT,BA1,2019,6,4399,AUTOTRENO
1,80,120,70,584,0.672,1,1,9,600,1, , , , , ,BA1,Merce varia,2019,6,6007182,PAL,VITILLO SPA,HANSA FLEX HIDRAULIKA UAB,91108,LT,BA1,2019,6,4399,AUTOTRENO
2,57,56,32,56,0.102144,1,1,9,100,1, , , , , ,BA1,Merce varia,2019,6,6007230,COL,ZUCCHETTI CENTRO SISTEMI C/O TRANSARNO LOGISTICA,NEONINE IDEJA UAB,,LT,BA1,2019,6,4399,AUTOTRENO
1,80,60,80,70,0.384,1,1,9,200,1, , , , , ,BA1,Merce varia,2019,6,6007236,PAL,BOLGHERELLO SNC,KOSMELITA UAB,51194,LT,BA1,2019,6,4399,AUTOTRENO
6,22,22,160,152,0.07744,1,1,9,200,1, , , , , ,BA1,TESSUTI,2019,6,6007311,ROL,PUGI R.G.SRL,SCAPA BALTIC UAB,48399,LT,BA1,2019,6,4399,AUTOTRENO
2,110,110,80,1240,0.968,1,1,9,1300,1, , , , , ,BA1,Merce varia,2019,6,6007350,PAL,GIUSTO MANETTI BATTILORO SPA,UAB S.K.S. ,2190,LT,BA1,2019,6,4399,AUTOTRENO
4,80,120,150,2580,1.44,1,1,9,2600,1,1, , , , ,BA1,Merce varia,2019,6,6007332,PAL,NESTI DANTE SRL,KOSMELITA UAB,51194,LT,BA1,2019,6,4397,AUTOTRENO
1,120,80,180,600,1.728,1,1,3,600,0, , , , , ,BA1,Merce varia,2019,1,203888,PAL,HDS / ROBO SPA,JSC JAUKUS SURMULYS,47184,LT,BA1,0,0,0,
1,88,120,228,579.8,2.40768,1,1,3,1400,0, , , , , ,BA1,Merce varia,2019,1,205118,PAL,SANTOEMMA SRL,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,84,130,145,579.8,1.5834,1,1,3,1400,0, , , , , ,BA1,Merce varia,2019,1,205118,PAL,SANTOEMMA SRL,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,65,102,86,579.8,0.57018,1,1,3,1400,0, , , , , ,BA1,Merce varia,2019,1,205118,PAL,SANTOEMMA SRL,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,80,120,96,157,0.9216,1,1,3,300,0, , , , , ,BA1,Merce varia,2019,1,205127,PAL,ICAR Spa,BALTESA UAB,9300,LT,BA1,0,0,0,
2,120,80,90,919,0.864,1,1,3,1000,0, , , , , ,BA1,Merce varia,2019,1,205129,PLT,EUROPE TRACTOR PARTS SRL,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,120,80,70,919,0.672,1,1,3,1000,0, , , , , ,BA1,Merce varia,2019,1,205129,PLT,EUROPE TRACTOR PARTS SRL,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,120,80,90,162,0.864,1,1,3,300,0, , , , , ,BA1,Merce varia,2019,1,205133,PAL,BREVETTI STENDALTO S.P.A.,EUROPEAN TRANSIT SERVICE UAB,13176,LT,BA1,0,0,0,
1,142,90,55,1300,0.7029,1,1,3,1300,0, , , , , ,BA1,Merce varia,2019,1,205140,PAL,MARCONI SRL,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,80,120,70,337.6,0.672,1,1,3,400,0, , , , , ,BA1,Merce varia,2019,1,205156,PAL,BUGATTI VALVOSANITARIA,VISAS LABAS,52119,LT,BA1,0,0,0,
2,120,80,165,1100,1.584,1,1,3,1100,0, , , , , ,BA1,Merce varia,2019,1,205423,PAL,DI SANO SRL,SKONIS IR KVAPAS UAB,2241,LT,BA1,0,0,0,
1,93,125,165,80,1.918125,1,1,3,600,0, , , , , ,BA1,Merce varia,2019,1,205435,PAL,IVELA SPA,ARDENA UAB,2006,LT,BA1,0,0,0,
1,150,120,120,693,2.16,1,1,3,700,0, , , , , ,BA1,LAVORI PLASTICA,2019,2,2044442,PAL,RESINFLEX S.R.L.  SOCIETA UNIPERSONALE,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,120,80,97,794,0.9312,1,1,3,1600,0, , , , , ,BA1,PRODOTTI IN CARTA,2019,2,2044582,PAL,ECOPACK SPA,UAB MINORDIJA,46353,LT,BA1,0,0,0,
1,120,80,230,794,2.208,1,1,3,1600,0, , , , , ,BA1,PRODOTTI IN CARTA,2019,2,2044582,PAL,ECOPACK SPA,UAB MINORDIJA,46353,LT,BA1,0,0,0,
1,120,80,200,794,1.92,1,1,3,1600,0, , , , , ,BA1,PRODOTTI IN CARTA,2019,2,2044582,PAL,ECOPACK SPA,UAB MINORDIJA,46353,LT,BA1,0,0,0,
1,100,100,129,749,1.29,1,1,3,1200,0, , , , , ,BA1,Merce varia,2019,2,2044667,PAL,COLDTECH,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
2,80,124,129,749,1.27968,1,1,3,1200,0, , , , , ,BA1,Merce varia,2019,2,2044667,PAL,COLDTECH,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
2,80,120,180,808.29,1.728,1,1,3,1100,0, , , , , ,BA1,Merce varia,2019,2,2044670,PAL,KLERAL SYSTEM S.R.L.,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
2,127,71,27,1370,0.243459,1,1,3,1400,0, , , , , ,BA1,Merce varia,2019,3,3040408,COL,ASFO S.P.A. (R),INTRANS UAB,2100,LT,BA1,0,0,0,
1,89,78,28,1370,0.194376,1,1,3,1400,0, , , , , ,BA1,Merce varia,2019,3,3040408,COL,ASFO S.P.A. (R),INTRANS UAB,2100,LT,BA1,0,0,0,
1,100,100,30,1370,0.3,1,1,3,1400,0, , , , , ,BA1,Merce varia,2019,3,3040408,COL,ASFO S.P.A. (R),INTRANS UAB,2100,LT,BA1,0,0,0,
1,70,70,25,1370,0.1225,1,1,3,1400,0, , , , , ,BA1,Merce varia,2019,3,3040408,COL,ASFO S.P.A. (R),INTRANS UAB,2100,LT,BA1,0,0,0,
1,80,60,60,213,0.288,1,1,3,300,0, , , , , ,BA1,Merce varia,2019,3,3040719,COL,OLEODINAMICA GAMBINI SRL (R),LINTERA  UAB,55101,LT,BA1,0,0,0,
1,120,80,80,210,0.768,1,1,3,300,0, , , , , ,BA1,Merce varia,2019,3,3040784,COL,SPECCHIASOL S.R.L. (R),KOSMELITA UAB,51194,LT,BA1,0,0,0,
1,118,93,166,432,1.821684,1,1,3,800,0, , , , , ,BA1,Merce varia,2019,3,3040923,COL,STARMIX SRL,BALTIC MASTER UAB,LT02189,LT,BA1,0,0,0,
1,85,85,85,432,0.614125,1,1,3,800,0, , , , , ,BA1,Merce varia,2019,3,3040923,COL,STARMIX SRL,BALTIC MASTER UAB,LT02189,LT,BA1,0,0,0,
7,120,80,240,1733,2.304,1,1,3,4900,0, , , , , ,BA1,Merce varia,2019,3,3040931,COL,FISC ITALIANA SRL (R),INTRANS UAB,2100,LT,BA1,0,0,0,
1,87,85,233,460,1.723035,1,1,3,2400,0, , , , , ,BA1,Merce varia,2019,3,3040952,PLT,NARDI SPA  (R),LIRAMTA UAB,46333,LT,BA1,0,0,0,
2,90,90,218,460,1.7658,1,1,3,2400,0, , , , , ,BA1,Merce varia,2019,3,3040952,PLT,NARDI SPA  (R),LIRAMTA UAB,46333,LT,BA1,0,0,0,
1,160,80,200,460,2.56,1,1,3,2400,0, , , , , ,BA1,Merce varia,2019,3,3040952,PLT,NARDI SPA  (R),LIRAMTA UAB,46333,LT,BA1,0,0,0,
1,120,80,240,800,2.304,1,1,3,800,0, , , , , ,BA1,Merce varia,2019,3,3040954,COL,STI SPA,MAXIMA,,LT,BA1,0,0,0,
1,80,60,96,744,0.4608,1,1,3,1400,0, , , , , ,BA1,BORSE DI CARTA,2019,3,3041002,COL,SCOTTON SPA (R),UAB SIAIVA,44139,LT,BA1,0,0,0,
1,120,80,200,744,1.92,1,1,3,1400,0, , , , , ,BA1,BORSE DI CARTA,2019,3,3041002,COL,SCOTTON SPA (R),UAB SIAIVA,44139,LT,BA1,0,0,0,
1,120,80,228,744,2.1888,1,1,3,1400,0, , , , , ,BA1,BORSE DI CARTA,2019,3,3041002,COL,SCOTTON SPA (R),UAB SIAIVA,44139,LT,BA1,0,0,0,
1,120,100,120,440,1.44,1,1,3,500,0, , , , , ,BA1,SILICONE,2019,3,3041011,PLT,SILICONI COMMERCIALE SPA (R),SERPANTINAS LTD.,35113,LT,BA1,0,0,0,
1,80,120,228,558,2.1888,1,1,3,1200,0, , , , , ,BA1,Merce varia,2019,3,3041018,PLT,GIFLOR SRL,BIOK LABORATORIJA UAB,2300,LT,BA1,0,0,0,
1,80,120,187,558,1.7952,1,1,3,1200,0, , , , , ,BA1,Merce varia,2019,3,3041018,PLT,GIFLOR SRL,BIOK LABORATORIJA UAB,2300,LT,BA1,0,0,0,
1,80,120,150,690,1.44,1,1,3,700,0, , , , , ,BA1,Merce varia,2019,3,3041028,PLT,LA CANTINA PIZZOLATO,UAB SIAIVA,44139,LT,BA1,0,0,0,
1,171,51,26,37.85,0.226746,1,1,3,100,0, , , , , ,BA1,Merce varia,2019,3,3041035,PLT,PIAVE MAITEX,AUDIMAS AB ,47182,LT,BA1,0,0,0,
2,120,225,245,1000,6.615,1,1,3,4000,0, , , , , ,BA1,FORNI E PARTI,2019,3,3041058,GAB,REAL FORNI SRL,KEPYRA UAB ,2300,LT,BA1,0,0,0,
1,82,82,12,380.94,0.080688,1,1,3,400,0, , , , , ,BA1,Merce varia,2019,4,4040773,CAR,USCO S.P.A.,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,75,75,55,380.94,0.309375,1,1,3,400,0, , , , , ,BA1,Merce varia,2019,4,4040773,CAS,USCO S.P.A.,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
4,66,36,60,138,0.14256,1,1,3,400,0, , , , , ,BA1,Merce varia,2019,4,4040919,CAR,CALZATURIFICIO GAL.MEN SRL,Shop Boot IQ,,LT,BA1,0,0,0,
4,66,40,52,138,0.13728,1,1,3,400,0, , , , , ,BA1,Merce varia,2019,4,4040919,CAR,CALZATURIFICIO GAL.MEN SRL,Shop Boot IQ,,LT,BA1,0,0,0,
3,80,120,70,1733,0.672,1,1,3,1800,0, , , , , ,BA1,MERCE VARIA,2019,4,4041143,PAL,FOR SPA,EUROPEAN TRANSIT SERVICE UAB,13176,LT,BA1,0,0,0,
1,60,80,70,1733,0.336,1,1,3,1800,0, , , , , ,BA1,MERCE VARIA,2019,4,4041143,PAL,FOR SPA,EUROPEAN TRANSIT SERVICE UAB,13176,LT,BA1,0,0,0,
1,30,22,18,1000.85,0.01188,1,1,3,1100,0, , , , , ,BA1,Merce varia,2019,4,4041214,CAR,USCO S.P.A.,INTRANS UAB,2100,LT,BA1,0,0,0,
1,60,45,47,1000.85,0.1269,1,1,3,1100,0, , , , , ,BA1,Merce varia,2019,4,4041214,CAR,USCO S.P.A.,INTRANS UAB,2100,LT,BA1,0,0,0,
1,122,75,85,1000.85,0.77775,1,1,3,1100,0, , , , , ,BA1,Merce varia,2019,4,4041214,PAL,USCO S.P.A.,INTRANS UAB,2100,LT,BA1,0,0,0,
1,122,75,85,1000.85,0.77775,1,1,3,1100,0, , , , , ,BA1,Merce varia,2019,4,4041214,PAL,USCO S.P.A.,INTRANS UAB,2100,LT,BA1,0,0,0,
1,120,80,54,26,0.5184,1,1,3,200,0, , , , , ,BA1,Merce varia,2019,4,4041238,COL,MAUMANN SRL,CONTINEXUS UAB,2119,LT,BA1,0,0,0,
1,70,60,60,30,0.252,1,1,3,100,0, , , , , ,BA1,Merce varia,2019,6,6007264,CRT,OMEN ,DANBALT UAB,8247,LT,BA1,0,0,0,
1,70,50,50,30,0.175,1,1,3,100,0, , , , , ,BA1,Merce varia,2019,6,6007266,CRT,3Y STYLE,KALNU AIDAS UAB,20194,LT,BA1,0,0,0,
1,100,120,130,900,1.56,1,1,3,1700,0, , , , , ,BA1,Merce varia,2019,6,6007301,PAL,APIARIUM SRL,KOSMELITA UAB,51194,LT,BA1,0,0,0,
1,120,100,180,900,2.16,1,1,3,1700,0, , , , , ,BA1,Merce varia,2019,6,6007301,PAL,APIARIUM SRL,KOSMELITA UAB,51194,LT,BA1,0,0,0,
1,100,120,160,900,1.92,1,1,3,1700,0, , , , , ,BA1,Merce varia,2019,6,6007301,PAL,APIARIUM SRL,KOSMELITA UAB,51194,LT,BA1,0,0,0,
